id,title,label
politifact15014,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,1
politifact15156,Court Orders Obama To Pay $400 Million In Restitution,1
politifact14745,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,1
politifact14355,Oscar Pistorius Attempts To Commit Suicide,1
politifact15371,Trump Votes For Death Penalty For Being Gay,1
politifact14404,Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,1
politifact13919,New York Man Wanted For Infecting 240 Men And Women With HIV!!!,1
politifact14795,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,1
politifact14328,Malia Obama Fired From Cushy Internship At Spanish Embassy,1
politifact13775,Target to Discontinue Sale of Holy Bible,1
politifact14678,Youngest World Leader Bans George Soros’s Foundations From Austria,1
politifact14394,BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,1
politifact14376,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",1
politifact14233,President Trump Underscores US-Jamaica Relations,1
politifact14890,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,1
politifact14356,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,1
politifact14776,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",1
politifact15355,Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,1
politifact14664,ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,1
politifact15178,Former presidents walk fine line in Trump’s America,1
politifact15052,"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",1
politifact15309,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,1
politifact15267,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",1
politifact13836,BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,1
politifact15553,Clinton Campaign official arrested by FBI on child rape/trafficking charges,1
politifact14755,"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",1
politifact13806,"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",1
politifact15164,Biden raises possibility of 2020 presidential bid,1
politifact14388,"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",1
politifact14742,Snapchat is shutting down!,1
politifact14544,Rice told investigators why she unmasked Trump aides,1
politifact13677,BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,1
politifact15280,Clinton Email: We Must Destroy Syria For Israel,1
politifact14310,CNN host Fareed Zakaria calls for jihad rape of white women,1
politifact15130,Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,1
politifact14694,UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced,1
politifact14863,BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,1
politifact15004,"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",1
politifact13773,"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",1
politifact14258,Barrels removed from Clinton property contain parts from 3 missing women.,1
politifact14235,"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",1
politifact15251,Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,1
politifact14940,Full text: Jeff Flake on Trump speech transcript,1
politifact13687,Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,1
politifact14305,"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",1
politifact15367,Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore,1
politifact14862,About Mayor Bhalla,1
politifact13949,Neon Nettle,1
politifact15591,Broward County Sheriff Fired For Lying About Parkland,1
politifact13887,Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”,1
politifact15262,Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”,1
politifact15525,Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,1
politifact13589,Pope Francis To Followers: “Koran And Holy Bible Are The Same”,1
politifact14005,United Airlines Flight Attendant Slaps Crying Baby During Flight,1
politifact15271,"CIA Release Documents Of Moon, Moon Has More Than 250 Million Citizens",1
politifact13565,How Donald Trump Lost the 'War on Christmas',1
politifact15354,Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,1
politifact14426,Man charged with murder after driving into anti-far-right protesters in Charlottesville,1
politifact14565,BREAKING: Fox Sports Cancels ALL NFL Broadcasts ‘Until Players Respect The Flag’,1
politifact14548,The Legislative Process,1
politifact14564,Head Of NFL Fines Steeler Teammates $1 MILLION Each!,1
politifact14386,Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,1
politifact14879,BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,1
politifact13515,Sid Miller,1
politifact13982,"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”",1
politifact14222,Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS,1
politifact13745,GOP Official Who Says America Needs ?Another 9/11? Shares _______________ With Trump,1
politifact14954,82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty,1
politifact14211,DEA Just Raided A United States Senator,1
politifact15331,"CNN Shocks America, FIRES ‘Journalist’ Who Made Fun Of Sarah Sanders’ Face",1
politifact15492,Trump’s DHS Secretary Confirms They Are Preparing To Arrest Sanctuary City Leaders,1
politifact14567,Twelve More Hurricanes Headed Towards US,1
politifact14700,CALIFORNIA DEMOCRAT MAXINE WATERS CHARGED ON 3 COUNTS. DO YOU SUPPORT THIS?,1
politifact15287,"BREAKING: British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash – NRTOnline",1
politifact15386,"OFFICIAL: Rudy Giuliani Officially Resigns, Trump’s Legal Team on Its Last Leg",1
politifact15109,Michelle Obama Just Received LIFE-SHATTERING News From The Doctor,1
politifact13905,SPECIAL REPORT: GEORGIA BECOMES FIRST STATE TO BAN MUSLIM CULTURE IN HISTORIC MOVE TO RESTORE WESTERN VALUES!,1
politifact14506,Tens of Thousands Of Scientists Declare Climate Change A Hoax,1
politifact13038,The numbers don't lie... - Occupy Democrats,1
politifact14052,Donald Trump to issue an executive order to ban Facebook across US,1
